rate,votes,location,rest_type,dish_liked,cuisines
3.8/5,214,Koramangala 7th Block,Casual Dining,Rolls Kathi Roll Mutton Roll Chicken Roll Firni Chicken Tikka Bengali Style Biryani,North Indian Kebab Biryani Rolls
4.2/5,538,Koramangala 7th Block,Quick Bites,Momos Noodles Thukpa Teriyaki Chicken Chicken Chowmein Clear Chicken Soup Beef Chilli,Tibetan Chinese Momos
3.8/5,53,Koramangala 7th Block,Quick Bites,Pizza Spinach Curry Salad,Healthy Food
4.4/5,384,Koramangala 7th Block,Quick Bites,Appam Buttermilk Fry Prawns Roast Beef Masala Prawn Chicken Stew Murgh Ghee Roast,South Indian Kerala Seafood
4.3/5,280,Koramangala 7th Block,Quick Bites,Kulcha Chole Mutton Curry Paratha Mint Raita Chicken Curry Dal Makhani,North Indian
3.9/5,1052,Koramangala 7th Block,Quick Bites,Burgers Chicken Crisp Burger Chicken Whopper Chicken Keema Burger Chicken Fries Mutton Whopper Chocolate Shake,Burger Fast Food Beverages
4.2/5,101,Koramangala 7th Block,Dessert Parlor Cafe,Hot Chocolate Sandwich Sushi Red Velvet Pumpkin Ravioli Cajun Fries Gooey Chocolate Cake,Desserts Cafe Beverages
3.9/5,140,Koramangala 7th Block,Quick Bites Sweet Shop,Mishti Doi Rasgulla Radhaballavi Rasmalai Chamcham Dum Aloo Malai Roll,Street Food Mithai
3.8/5,47,Koramangala 7th Block,Quick Bites,Pizza Peri Peri Fries Veg Paprika,Fast Food Burger Pizza
3.3/5,396,Koramangala 7th Block,Quick Bites,Fish Thali Aloo Paratha,North Indian
3.1/5,117,Koramangala 7th Block,Quick Bites,Thali Chicken Lollipop Gundappa Donne Biryani Mutton Biryani,Biryani
3.9/5,357,Koramangala 7th Block,Quick Bites,Burgers Wedges Ice Tea Maharaja Burger Maharaja Mac French Fries Hash Brown,Fast Food Burger
3.8/5,41,Koramangala 7th Block,Quick Bites,Biryani Paratha Chicken Masala Kerala Parotta,Biryani
3.9/5,654,Koramangala 7th Block,Quick Bites,Burgers Zinger Burger Chicken Bucket Virgin Mojito Chicken Wings Crispy Chicken Hot Wings,Burger Fast Food
3.9/5,554,Koramangala 7th Block,Quick Bites,Coffee Burgers Pasta Beef Steak Chicken Lasagne Salads Sandwiches,Fast Food American Chinese
3.9/5,85,Koramangala 7th Block,Quick Bites,Dal Makhani Amritsari Kulcha,North Indian
3.9/5,150,Koramangala 7th Block,Food Court,Coffee Chaat Bhel Puri Spring Dosa Buttermilk Bread Pakora Masala Poori,Chinese North Indian Fast Food Street Food
3.5/5,70,Koramangala 7th Block,Quick Bites,Rolls Masala Veg Frankie Chicken Frankie,Street Food Rolls
3.7/5,73,Koramangala 7th Block,Quick Bites,Rolls Aloo Paratha Lassi Bread Omelette,North Indian Chinese Rolls
3.8/5,37,Koramangala 7th Block,Food Court Quick Bites,Paratha Biryani Fish Fry,Kerala Konkan
3.6/5,90,Koramangala 7th Block,Quick Bites,Burgers Fries Chicken Wings Popcorn Chicken Grill,Fast Food Burger
2.8/5,64,Koramangala 7th Block,Quick Bites,Idli Vada Coffee Masala Dosa Masala Poori,South Indian North Indian Chinese
3.8/5,56,Koramangala 7th Block,Food Court,Sea Food Platter Fish N Chips Fish Fingers Fries Prawn Noodles,Seafood Fast Food
3.6/5,68,Koramangala 7th Block,Food Court,Paratha Sea Food Appam Malabari Biryani,Kerala
3.8/5,81,Koramangala 7th Block,Quick Bites,Chai Lemon Tea Ginger Tea Rolls,Chinese Fast Food
2.9/5,53,Koramangala 7th Block,Quick Bites,Falafel Shawarma Chicken Shawarama Salad Whole Wheat Pita Middle Eastern Food Pizza,Lebanese
3.8/5,102,Koramangala 7th Block,Quick Bites,Chocolate Momos Thukpa Tandoori Momos Paneer Momos,Tibetan Momos
3.8/5,132,Koramangala 7th Block,Quick Bites,Rolls Momos Chicken Egg Roll Fries Cheese Roll Veggie Roll,Rolls Chinese
2.9/5,189,Koramangala 7th Block,Food Court,Manchow Soup Prawn Chicken Noodle Chicken Momo Chop Suey,Chinese Thai
4.7/5,10547,Koramangala 5th Block,Casual Dining Bar,Chocolate Lollipop Chocolate Biscuit Fire Shots Sangria Chocolate Ganache Paneer Makhani Corn Fry,North Indian European Mediterranean
4.7/5,14726,Koramangala 5th Block,Cafe Casual Dining,Burgers Pasta Cocktails American Cheese Burger Chicken Salad Pancakes Chocolate Dessert,Cafe American Burger Steak
4.3/5,582,Koramangala 6th Block,Microbrewery Casual Dining,Beer Pizza Mocktails Pasta Rasmalai Cocktails Brownie,Continental North Indian Pizza BBQ
4.4/5,1592,Koramangala 5th Block,Microbrewery Casual Dining,Cocktails Apple Cider Craft Beer Burgers Stout Seafood Salad Sabudana Vada,Modern Indian European Asian
4.5/5,3919,Koramangala 5th Block,Pub Casual Dining,Thai Crispy Chicken Mojito Watermelon Martini Chicken Biryani Beef Fry Cocktails Calamari,Finger Food Continental North Indian
4.5/5,3174,Koramangala 5th Block,Casual Dining Bar,Egg Chilli Butter Naan Watermelon Juice Chocolate Halwa Fry Prawns Mocktails Salads,North Indian Chinese Continental Thai Salad
4.2/5,1768,Koramangala 5th Block,Casual Dining,Barbecue Chicken Wings Cocktails Chilli Paneer Chicken Steak Sangria Pizza Spicy Chicken,Continental Asian American North Indian Desserts
4.6/5,7137,Koramangala 4th Block,Cafe,Waffles Healthy Breakfast English Breakfast Pancakes Burgers Sandwiches Mushroom Omelette,Cafe American Burger
4.5/5,3473,Koramangala 5th Block,Casual Dining,Jeera Rice Mutton Chops Chicken Salad Vegetable Biryani Zafrani Mutton Biryani Mutton Seekh Mutton Roganjosh,North Indian Mughlai Salad
4.5/5,2597,Koramangala 5th Block,Bar Casual Dining,Cocktails Bruschettas Peppy Paneer Pizza Beer Sea Food Caramel Custard Peri Peri Wings,Continental North Indian Chinese American
4.2/5,2377,Koramangala 5th Block,Pub,Pasta Biryani Cocktails Mocktails Pizza Nachos Blueberry Cheesecake,Finger Food Continental Asian North Indian
4.5/5,3854,Koramangala 5th Block,Cafe,Coffee Chocolate Mocha Hot Chocolate Chocolate Cake Sandwiches Pizza Bannoffee Pie,Cafe Italian Fast Food
4.3/5,224,Koramangala 4th Block,Casual Dining Bar,Cocktails Shakshouka Beer Margherita Pizza Blueberry Cheesecake Fries Bellini,Continental South Indian Italian North Indian Chinese
4.5/5,7870,Koramangala 4th Block,Pub Microbrewery,Mango Cider Cajun Potato Nachos Salads Pizza Wheat Beer Pork Ribs,American Continental North Indian Salad
4.5/5,3996,Koramangala 5th Block,Casual Dining Microbrewery,Beef Chilli Salad Cocktails Pizza Craft Beer Mango Cider Potato Wedges,Continental Mediterranean North Indian Chinese Finger Food
4.4/5,1582,Koramangala 5th Block,Casual Dining,Mutton Biryani Nalli Nihari Patthar Ka Gosht Phirni Paya Soup Hyderabadi Biryani Chicken Nihari,Mughlai Biryani
4.2/5,153,Koramangala 5th Block,Casual Dining,Ulavacharu Biryani Bangla Kodi Rajugari Kodi Pulao Gadwal Kodi Pulao Curd Rice Fish,Andhra North Indian Chinese
4.9/5,2254,Koramangala 5th Block,Casual Dining Bar,Noodles Chicken Dim Sum Pad Thai Noodle Jumbo Prawns Cocktails Prawn Sushi Treasure Soup,Asian Chinese Thai Momos
4.7/5,3220,Koramangala 5th Block,Cafe Casual Dining,Pasta Mezze Platter Momos Pizza Waffles Chocolate Milkshake Pancakes,Chinese American Continental Italian North Indian
4.2/5,2621,Koramangala 5th Block,Casual Dining,Coconut Payassam Seafood Soup Fish Filter Kaapi Tender Coconut Payasam Mutton Curry Mysore Masala Dosa,Chettinad Andhra Kerala
4.7/5,4872,Koramangala 5th Block,Casual Dining,Pasta Tiramisu Wine Barbeque Chicken Pizza Salads Brownie Chocolate Bruschettas,Italian
4.7/5,4464,Koramangala 5th Block,Bar,Cocktails Chaap Tandoori Chicken Mocktails Beer Ghee Roast Mutton Martini,Continental Asian North Indian
4.4/5,377,Koramangala 3rd Block,Cafe Lounge,Cocktails Fish Mocktails Momos Burgers Pizza Chicken Lollipop,Cafe American Asian North Indian
4.4/5,9085,Koramangala 4th Block,Casual Dining Cafe,Berryblast Gourmet Pizza Mocktails Ravioli Bacon Pizza Pasta Prawn Pizza,Pizza Cafe Italian
4.1/5,2738,Koramangala 5th Block,Cafe,Margarita Pasta Mocktails Lemonade Bruschettas Salads Spaghetti,Cafe Continental European Juices
4.4/5,118,Koramangala 5th Block,Lounge,Cocktails Veg Burger Tikka Beer Pizza Burgers Spaghetti Aglio Olio,Pizza Continental North Indian Asian
4.5/5,911,Koramangala 4th Block,Microbrewery Casual Dining,Cocktails Mocktails Beer Biryani Pizza Drunken Prawn Long Island Iced Tea,Continental Finger Food Asian North Indian
4.6/5,5017,Koramangala 5th Block,Casual Dining Pub,Cocktails Craft Beer Salads Devils Chicken Sea Food Mocktails Wedges,European Continental
4.5/5,2014,Koramangala 5th Block,Microbrewery Casual Dining,Beer Onion Pakoda Long Island Iced Tea Peri Peri Chicken Cocktails Stout Veg Platter,Continental American Italian Modern Indian Pizza Burger
4.4/5,7238,Koramangala 5th Block,Casual Dining,Chicken Boneless Biryani Egg Curry Andhra Biryani Hyderabadi Biryani Paneer Biryani Buttermilk Sea Food,Biryani Andhra North Indian Seafood
4.4/5,3676,Koramangala 5th Block,Casual Dining,Noodles Rice Paper Rolls Prawn Dumplings Vegetable Dimsums Prawn Dim Sums Rendang Chicken Pad Thai,Chinese Thai Asian Malaysian Vietnamese Sri Lankan Burmese
4.4/5,2403,Koramangala 4th Block,Casual Dining,Salads Shitake Mushrooms Noodles Dumplings Nasi Goreng Crispy Corn Vegetarian,Malaysian Thai Singaporean Asian Chinese Momos
4.5/5,1250,Koramangala 4th Block,Microbrewery Bar,Mai Thai Sangria Pizza Cocktails Biryani Beer Chicken Nachos,American North Indian Pizza Finger Food Continental Italian
4.4/5,1228,Koramangala 4th Block,Cafe,Coffee Hummus Platter Granola Parfait Hot Chocolate Cappuccino Waffles Skillet Cookie,Cafe Continental Desserts
4.5/5,580,Koramangala 6th Block,Bar,Cocktails Long Island Iced Tea Draught Beer Masala Peanuts Pizza Mocktails Chicken Tikka,Finger Food North Indian Continental
4.1/5,786,Koramangala 3rd Block,Casual Dining,Butter Naan Mocktails Cocktails Sunday Brunch Waffles Gulab Jamun Veg Platter,North Indian Mughlai
4.4/5,365,Koramangala 6th Block,Cafe,Tomato Soup Salad Pizza Fries Brownie Shake Pasta Chicken Bbq Wings,Cafe North Indian Pizza Sandwich Salad
4.4/5,4096,Koramangala 4th Block,Bar Casual Dining,Cocktails Barbeque Chicken Pizza Nachos Chocolate Martini Bbq Chicken Pizza Wedges Beer,Asian Burger Pizza Chinese Finger Food
4.0/5,79,Koramangala 8th Block,Cafe,Coffee Potato Wedges,Cafe Coffee
4.1/5,1799,Koramangala 5th Block,Casual Dining,Salads Lamb Sandwiches Ice Tea Chicken Salad Steak Chicken Shashlik,American Continental Fast Food Steak
4.0/5,2164,Koramangala 5th Block,Lounge,Beer Jalapeno Cheeseballs Peri Peri Chicken Burger Burgers Nachos Barbecue Chicken Wings Cheesy Fries,Continental American Chinese BBQ Salad
4.2/5,1746,Koramangala 4th Block,Pub,Cocktails Devils Chicken Beer Tandoori Chicken Pasta Pinacolada Pizza,Chinese Continental North Indian
4.4/5,177,Koramangala 5th Block,Cafe Dessert Parlor,Tea Chocolate Bomb Waffles Peri Chicken Fries Pasta Alfredo Mocktails,Cafe Italian Desserts
4.5/5,697,Koramangala 5th Block,Casual Dining,Noodles Manchow Soup Sake Veg Sushi Virgin Pinacolada Tempura Prawns Sea Food,Chinese Sushi Asian Thai
4.3/5,2308,Koramangala 5th Block,Casual Dining,Andhra Meal Chicken Pepper Dry Andhra Thali Chicken Biryani Murgh Ghee Roast Ghee Rice Hyderabadi Biryani,Andhra North Indian Biryani
4.3/5,2584,Koramangala 5th Block,Bar,Biryani Cocktails Pasta Peri Peri Chicken Mocktails Paneer Tikka Masala Pizza,Continental Finger Food North Indian Chinese
4.5/5,272,Koramangala 4th Block,Casual Dining,Pasta Wine Lasagne Cheesecake Spinach Ravioli Exotic Pizza Cocktails,Italian Pizza Salad
4.3/5,524,Koramangala 6th Block,Casual Dining,Mysore Pak Cocktails Burgers Pork Ribs Fish Mocktails Churros,American European
4.3/5,2874,Koramangala 5th Block,Cafe,Burgers Waffles Pancakes Chicken Lasagne English Breakfast Sandwiches Pasta,Cafe American Burger Sandwich Beverages
4.2/5,1181,Koramangala 4th Block,Pub,Beer Chilli Chicken Pizza Paneer Tikka Cocktails Nachos Mocktails,Finger Food Chinese Italian Burger
4.4/5,1856,Koramangala 6th Block,Casual Dining,Noodles Veg Momos Chicken Soup Chicken Dumplings Meishan Tofu Sea Food Mocktails,Chinese
4.1/5,1698,Koramangala 5th Block,Casual Dining,Mutton Kalmi Chicken Biryani Dahi Ke Kebab Lassi Tomato Soup Ganna Chicken Soya Chaap,North Indian Chinese
3.8/5,1162,Koramangala 5th Block,Casual Dining,Bamboo Chicken Pot Biryani Brain Fry Hyderabadi Biryani Brinjal Curry Jowar Roti Mutton Curry,Andhra Biryani North Indian Chinese
4.3/5,1594,Koramangala 5th Block,Casual Dining,Noodles Manchow Soup Khau Suey Chilli Chicken Chaat Cheesecake Momos,Asian Malaysian Chinese Thai Momos
4.1/5,1251,Koramangala 5th Block,Casual Dining,Butter Chicken Kadhai Murgh Rajma Chawal Kadhai Paneer Makke Ki Roti Sweet Lassi Dal Makhani,North Indian Mughlai
3.8/5,4660,Koramangala 6th Block,Lounge Microbrewery,Tandoori Chicken Fish Chilli Cocktails Pizza Craft Beer Chaat Long Island Iced Tea,North Indian Continental Chinese
4.0/5,1880,Koramangala 6th Block,Casual Dining,Lassi Raita Dal Makhani Jalebi Rabri Chaach Hara Bhara Kabab Lime Soda,North Indian
4.3/5,2254,Koramangala 5th Block,Casual Dining,Noodles Chicken Momo Momos Lunch Buffet Garlic Butter Noodle Crab Soup Jasmine Tea,Chinese Thai Momos
4.3/5,554,Koramangala 5th Block,Casual Dining Pub,Sea Food Burgers Onion Rings Non Veg Thali Craft Beer Roti Pizza,North Indian Chinese Pizza
4.3/5,1475,Koramangala 5th Block,Cafe,Butter Chicken Pizza Lamb Burger Chicken Bao Vegetable Moussaka Peri Chicken Pasta Pink Lemonade,Cafe Continental Italian Burger
4.4/5,193,Koramangala 3rd Block,Cafe,Pizza Healthy Breakfast Salads Frittata Salad Carrot Halwa Potato Fries,Cafe
4.0/5,1161,Koramangala 4th Block,Casual Dining,Tandoori Chicken Biryani Chettinad Thali Elaneer Payasam Crab Soup Fish Pepper Chicken,Chettinad South Indian
4.3/5,1810,Koramangala 5th Block,Casual Dining Cafe,Lasagne Tiramisu Chicken Popcorn Mocktails Club Chicken Sandwich Nachos Pasta,Continental Cafe Italian Fast Food Steak
4.1/5,315,Koramangala 4th Block,Cafe,Poha Momos Chai Pasta Tea Pancakes Chicken Sandwich,Cafe Continental
4.1/5,442,Koramangala 5th Block,Casual Dining,Dragon Chicken Butter Chicken Rolls Mutton Biryani Raita Panneer Butter Masala Tandoori Chicken,North Indian Chinese Biryani
4.4/5,389,Koramangala 5th Block,Casual Dining Bar,Pizza Pita Bread Beer Cocktail Baklava Shrimp Soup Pasta Babaganush,Mediterranean Pizza Italian Beverages
4.2/5,1629,Koramangala 4th Block,Casual Dining,Pasta Pizza Steak Mojito Salads Tiramisu Sea Food,Salad Italian Desserts Pizza
4.4/5,214,Koramangala 5th Block,Cafe,Salad Salads Peri Peri Chicken Burgers Broccoli Soup Steak Soba Noodles,Cafe Salad Healthy Food Mexican
4.5/5,740,Koramangala 5th Block,Casual Dining,Tacos Churros Nachos Salad Enchiladas Burrito Bowl Hot Chocolate,Mexican
4.4/5,951,Koramangala 5th Block,Cafe,Beef Steak Custard Burgers Beef Stroganoff Salad Sandwich Sandwiches,Cafe European Continental
4.2/5,520,Koramangala 5th Block,Cafe,Mocktails Salad Coffee Pizza Meat Balls Nachos Hot Chocolate,Cafe Continental Beverages
4.4/5,470,Koramangala 4th Block,Cafe,Pizza Healthy Breakfast Momos Enchiladas Aloo Papdi Chaat Coffee Tea,Cafe Continental Healthy Food Sandwich Pizza Desserts Beverages
4.1/5,678,Koramangala 3rd Block,Casual Dining,Noodles Pinacolada Mocktails Salad Thai Green Curry Spicy Crabmeat Soup Clear Soup,Chinese Thai Asian
4.1/5,602,Koramangala 6th Block,Casual Dining,Pizza Pasta Salads Masala Chai Soya Buttermilk Burgers Chocolate Icecreams,Italian North Indian Healthy Food Desserts
4.3/5,345,Koramangala 5th Block,Casual Dining,Noodles Momos Ramen Soup Bubble Tea Noodle Onion Rings Veg Dim Sums,Chinese Indonesian Japanese Malaysian Thai Vietnamese Momos
4.5/5,556,Koramangala 5th Block,Cafe,Salads Healthy Breakfast Quinoa Salad Frittata Pancakes Smoothie Chocolate Wheat Roll,Cafe Continental Mediterranean Beverages
4.1/5,845,Koramangala 6th Block,Casual Dining,Neer Dosa Murgh Ghee Roast Sea Food Fish Ghee Rice Appam Prawn Ghee Roast,Seafood Mangalorean North Indian Chinese
4.2/5,768,Koramangala 4th Block,Casual Dining,Mocktails Dal Tadka Paneer Lababdar Stuffed Kulcha Vegetable Biryani Sea Food Wine,North Indian Chinese Seafood
4.3/5,170,Koramangala 4th Block,Casual Dining,Noodles Mocktails Miso Soup Chilli Ramen Chicken Grill Gyoza Steamed Rice,Chinese Asian Japanese
4.2/5,823,Koramangala 6th Block,Casual Dining,Matka Lassi Paneer Tikka Chole Shikanji Onion Kulcha Malai Chaap Soya Chaap,North Indian
4.2/5,533,Koramangala 5th Block,Casual Dining,Momo Platter Thali Noodles Chicken Sekuwa Chicken Thukpa Jhol Momos Veg Momos,Chinese Singaporean Thai Asian Nepalese Momos
4.1/5,1574,Koramangala 5th Block,Casual Dining,Mutton Mandi Laccha Paratha Mutton Nihari Chicken Curry Tawa Chicken Rabri Raan,Arabian North Indian Beverages
4.3/5,295,Koramangala 4th Block,Cafe,Pizza Pancakes Penne Pasta Hot Chocolate Mezze Platter Cappuccino Waffles,Cafe Italian Pizza
4.1/5,261,Koramangala 4th Block,Casual Dining,Rabri Mutton Roganjosh Tandoori Roti Shahi Tukda Naan Mutton Seekh Malai Kofta,Mughlai North Indian Turkish Afghan
4.1/5,1798,Koramangala 5th Block,Pub,Cocktails Chicken Nachos Pizza Peri Peri Fries Hush Puppies Beer Tiramisu,Finger Food Asian European Italian
4.1/5,822,Koramangala 4th Block,Casual Dining Bar,Supreme Chicken Biryani Chicken Curry Curd Rice Chilli Chicken Veg Thali Lime Soda Mutton Bone Soup,Andhra Biryani North Indian Chinese
4.4/5,1811,Koramangala 4th Block,Casual Dining,Pho Hot Pot Sangria Fig Ice Cream Crepe Fish Pumpkin Soup,Vietnamese
4.1/5,992,Koramangala 6th Block,Cafe,Mocktails Pasta Alfredo Nachos Veggie Pizza Hot Chocolate Noodles Brownie Shake,Cafe Continental Italian
4.1/5,759,Koramangala 3rd Block,Bar,Chicken Tikka Egg Chilli Masala Peanuts Beer Pepper Chicken Chilli Chicken Masala Papad,North Indian Chinese
4.0/5,1519,Koramangala 3rd Block,Cafe,Pancakes Waffles Bbq Sandwich Mushroom Ragout Big Breakfast Nutella Waffle Omelette,Cafe Continental
4.2/5,2717,Koramangala 3rd Block,Cafe,Coffee Pasta Salads Tiramisu Pizza Waffles Pancakes,Cafe Continental Italian
4.1/5,1962,Koramangala 6th Block,Casual Dining,Fish Sea Food Chingri Malai Curry Mutton Kasha Jumbo Ilish Chingri Malaikari Jumbo Prawns,Bengali Mughlai
3.9/5,1143,Koramangala 5th Block,Casual Dining,Biryani Galauti Kebab Tandoori Chicken Phirni Tundey Paratha Rolls Rumali Roti,North Indian Kebab
4.1/5,1118,Koramangala 5th Block,Casual Dining,Hyderabadi Biryani Mutton Biryani Tandoori Chicken Mutton Fry Chicken Biryani Lassi Crispy Babycorn,Biryani North Indian Chinese Hyderabadi
4.0/5,314,Koramangala 5th Block,Casual Dining,Noodles Hunan Chicken Momos Spring Roll Wonton Soup Chicken Butter Garlic Fried Rice Chicken,Chinese Thai Momos Vietnamese
4.2/5,170,Koramangala 4th Block,Cafe,Pizza Coffee Burgers Pasta Tiramisu Sandwiches Tea,Cafe Desserts
3.9/5,484,Koramangala 5th Block,Casual Dining,Chicken Chettinad Donne Biryani Chicken Guntur Veg Thali Gobi Tikka Mutton Chops Chicken Curry,North Indian South Indian Chinese Biryani
4.4/5,331,Koramangala 5th Block,Casual Dining,Mocktails Kimchi Sushi Ginger Tea Pork Bibimbap Chicken Sizzler Salads,Korean
4.2/5,817,Koramangala 6th Block,Cafe,Mocktails Pizza Veg Platter Brownie Burgers Pasta Fries Basket,Cafe Continental Chinese Italian
4.2/5,877,Koramangala 5th Block,Cafe,Pasta Coffee Buffalo Chicken Wings Caesar Salad Cheesy Fries Mojito Salads,Cafe American Continental Italian
4.0/5,1243,Koramangala 4th Block,Cafe,Pizza Pasta Mocktails Malai Tikka Noodles Chicken Tikka Spaghetti,Cafe
4.2/5,1066,Koramangala 5th Block,Cafe,Coffee Burgers Pasta Sandwiches Mudcake Chicken Burger Pizza,Cafe Continental Burger
4.1/5,679,Koramangala 5th Block,Casual Dining,Buttermilk Chicken Dosa Masala Dosa Filter Coffee Tea Chicken Sandwich Paneer Dosa,South Indian North Indian Chinese
4.1/5,226,Koramangala 5th Block,Casual Dining,Burgers Pasta Pizza Veg Burger Chicken Lollipop Chicken Jumbo Burger Biryani,North Indian Chinese Fast Food Biryani
4.1/5,895,Koramangala 3rd Block,Cafe,Mushroom Bruschettas Mocktails Blueberry Smoothie Opera Cake Beef Burger Pasta Arrabiata Burgers,Cafe Continental Burger Salad Healthy Food Italian
4.1/5,2451,Koramangala 6th Block,Cafe,Burgers Cheese Burger Mojito Peri Peri Fries Apple Pie Tea Peri Peri Chicken Wings,Cafe Burger Fast Food Desserts
4.0/5,788,Koramangala 5th Block,Casual Dining,Chicken Dum Biryani Kerala Parotta Chicken Boneless Biryani Vegetable Biryani Naan Fish Gulab Jamun,Biryani Andhra North Indian Chinese
4.0/5,1408,Koramangala 6th Block,Pub Casual Dining,Beer Burgers Sandwiches Virgin Mojito Beef Chilli Pork Chilli Nachos,Continental American Pizza BBQ
3.9/5,784,Koramangala 5th Block,Casual Dining,Kebab Biryani Raita Chicken Biryani Vegetable Biryani Basmati Rice Hyderabadi Biryani Dum Biryani,Biryani Andhra
3.9/5,475,Koramangala 6th Block,Casual Dining,Lassi Mutton Kosha Thali Chicken Handi Chicken Curry Buttermilk Rasgulla,Oriya
4.1/5,141,Koramangala 5th Block,Cafe,Salads Chicken Sandwich Sandwiches Spaghetti Arugula Salad Cheesecake Cheese Chilli Toast,Cafe Healthy Food Salad Beverages Desserts
3.8/5,661,Koramangala 5th Block,Casual Dining,Momos Thukpa Dumplings Crispy Chilli Potatoes Beef Shaptak Dry Chicken Momo Fruit Beer,Chinese Tibetan North Indian
4.1/5,1244,Koramangala 5th Block,Lounge Casual Dining,Cocktails Burgers Pasta Exotic Pizza Honey Chilli Potatoes Long Island Iced Tea Nachos,Continental American North Indian Chinese
3.7/5,291,Koramangala 4th Block,Casual Dining,Murgh Ghee Roast Mutton Biryani Buttermilk Andhra Meal Thali Chilli Chicken Prawn,Andhra North Indian Chinese Biryani
4.0/5,151,Koramangala 2nd Block,Casual Dining,Breakfast Buffet Sushi Cheesecake Gulab Jamun Lunch Buffet Fish Noodles,Continental Italian North Indian Asian Bakery Chinese European Japanese
4.1/5,402,Koramangala 5th Block,Cafe Bar,Veg Burger Pork Ribs Pizza Chicken Sandwich Steak Burgers Mushroom Soup,Cafe Continental Salad Steak
3.8/5,155,Koramangala 5th Block,Pub Bar,Mango Cheesecake Pizza Beer Mocktails Crispy Water Chestnuts Cosmopolitan Prawn,Finger Food North Indian Continental Pizza
4.4/5,348,Koramangala 5th Block,Casual Dining Bar,Beef Steak Cocktails Mojito Paneer Ke Sholay Caramel Custard Prawn Ghee Roast Stuffed Mushroom,Chinese Continental North Indian Burger Pizza Seafood
4.2/5,1708,Koramangala 5th Block,Cafe,Burgers Pasta Chocolate Mousse Potato Wedges Cup Cake Cheesy Fries Peri Peri Chicken,Cafe Italian Burger American Steak
4.2/5,350,Koramangala 5th Block,Casual Dining,Paneer Tikka Masala Lassi Naan Buttermilk Soya Chaap Aloo Paratha Panneer Butter Masala,North Indian
3.6/5,76,Koramangala 4th Block,Casual Dining,Pasta Pizza,Continental Italian Chinese
4.1/5,87,Koramangala 6th Block,Cafe,Waffles,Cafe Desserts
3.9/5,599,Koramangala 4th Block,Bar,Beer Biryani Cocktails Masala Peanuts Chicken Tikka Chips Fish,Finger Food North Indian Chinese
4.0/5,238,Koramangala 5th Block,Casual Dining,Shami Kebab Kadhai Murgh Butter Chicken Chicken Biryani Mughlai Paratha Paneer Lababdar Mughlai Chicken,Mughlai North Indian
3.7/5,483,Koramangala 4th Block,Casual Dining,Chicken Fritters Steak Sandwiches Burgers Pasta Salads Beef Stroganoff,Continental Steak Chinese Salad Desserts Seafood Italian
3.9/5,599,Koramangala 5th Block,Pub Casual Dining,Mai Thai Cocktails Tiramisu Martini Beer Chilli Chicken Beef Chilli Long Island Iced Tea,Continental North Indian Chinese
4.0/5,281,Koramangala 4th Block,Casual Dining Bar,Biryani Breakfast Buffet Fish Salads Burgers Caramel Pudding Steak,European American Continental North Indian Steak
4.3/5,481,Koramangala 5th Block,Cafe,Tea Chai Margherita Pizza Sandwiches Corn Sandwich Paneer Parantha Brownie,Cafe Tea Street Food
3.8/5,474,Koramangala 5th Block,Casual Dining,Pav Bhaji Panneer Butter Masala Deluxe Thali Tea Panipuri Chaat Masala Dosa,South Indian North Indian Chinese Street Food
3.8/5,66,Koramangala 5th Block,Casual Dining,Tandoori Chicken Paratha,Arabian Kerala North Indian Chinese BBQ
4.2/5,226,Koramangala 2nd Block,Cafe,Paneer Roll Masala Chai Masala Tea Aloo Paratha Chaat Brownie Chocolate Methi Paratha,Cafe Street Food
3.9/5,823,Koramangala 5th Block,Casual Dining,Momos Chilli Chicken Chicken Manchow Soup Spicy Chicken Wings Thukpa Chicken Noodle Tai Pai Chicken,Chinese Momos
4.1/5,100,Koramangala 4th Block,Casual Dining,Onion Rings Triple Schezwan,American Continental Chinese
3.9/5,457,Koramangala 6th Block,Casual Dining,Roast Pork Biryani Pork Ribs Manchow Soup Butter Garlic Prawns Crispy Honey Chilli Chicken Wonton Soup,Chinese
4.2/5,272,Koramangala 6th Block,Pub Casual Dining,Cocktails Dessert Pizza Nachos Beef Chilli Long Island Iced Tea Beer Salsa,Continental Pizza Burger
3.9/5,1390,Koramangala 5th Block,Lounge,Nachos Pasta Cocktails Khamiri Roti Beer Lamb Burgers,Continental North Indian
4.2/5,295,Koramangala 5th Block,Casual Dining,Sea Food Neer Dosa Fish Curry Chicken Thali Crab Ghee Roast Squid Ghee Roast Murgh Ghee Roast,Seafood Mangalorean Chinese
3.9/5,158,Koramangala 4th Block,Casual Dining,Mocktails Pasta Wood Fire Pizza Paneer Malai Tikka French Fries Nachos Burgers,Continental Chinese Fast Food Beverages
3.7/5,259,Koramangala 5th Block,Casual Dining,Butter Kulcha Rolls Brownie Mutton Biryani Butter Chicken Shawarma Rumali Roti,Mughlai Fast Food
4.0/5,783,Koramangala 6th Block,Casual Dining,Pizza Pasta Garlic Bread Veg Burger Wine Minestrone Soup Chocolate Cake,Italian Pizza Fast Food Salad
4.0/5,66,Koramangala 4th Block,Cafe Casual Dining,Spaghetti Hot Chocolate Coffee Tea,Cafe Italian Continental
4.1/5,1004,Koramangala 5th Block,Casual Dining,Biryani Tandoori Chicken Panneer Butter Masala Naan Mutton Roganjosh Lassi Chicken Tikka Masala,North Indian Mughlai Chinese Rolls
